mysql> SELECT heat, hit_at, visitCount, followerCount FROM record WHERE qid = 507238700 ORDER BY hit_at ASC;
+---------------+--------------------+------------+---------------+
| heat          | hit_at             | visitCount | followerCount |
+---------------+--------------------+------------+---------------+
| 196万热度     | 1657268581.8068695 |     111645 |            62 |
| 203万热度     | 1657269181.6675248 |     119784 |            67 |
| 211万热度     | 1657269779.5129082 |     129469 |            73 |
| 223万热度     | 1657270377.3284876 |     140700 |            79 |
| 234万热度     | 1657270977.4000156 |     151464 |            87 |
| 246万热度     | 1657271577.8724403 |     162405 |            95 |
| 261万热度     |  1657272175.517476 |     174230 |           101 |
| 273万热度     | 1657272770.0413768 |     187497 |           111 |
| 289万热度     | 1657273367.7840288 |     200589 |           126 |
| 315万热度     | 1657273967.6625345 |     214335 |           137 |
| 337万热度     | 1657274567.8786178 |     227606 |           153 |
| 356万热度     | 1657275167.6941094 |     237640 |           171 |
| 268万热度     | 1657275768.1857357 |     246523 |           181 |
| 3690万热度    | 1657276363.1592598 |     255622 |           196 |
| 6011万热度    | 1657276965.5624704 |     266991 |           211 |
| 6178万热度    |  1657277566.166609 |     278510 |           221 |
| 6315万热度    | 1657278165.8973649 |     292413 |           229 |
| 6454万热度    |  1657278766.136111 |     305741 |           240 |
| 6575万热度    | 1657279366.0047014 |     319986 |           248 |
| 6672万热度    |  1657279966.313949 |     335908 |           262 |
| 6777万热度    | 1657280566.1223137 |     352699 |           268 |
| 6887万热度    | 1657281166.0909085 |     370157 |           280 |
| 6969万热度    | 1657281766.4019017 |     389062 |           289 |
| 7038万热度    | 1657282366.6133711 |     408179 |           299 |
| 7091万热度    |  1657282966.661002 |     426905 |           306 |
| 7995万热度    | 1657283566.8831582 |     446189 |           313 |
| 8018万热度    |  1657284167.311673 |     465685 |           322 |
| 8033万热度    | 1657284767.1813874 |     485812 |           338 |
| 7948万热度    | 1657285791.6589212 |     518619 |           353 |
| 7868万热度    | 1657286391.4875367 |     538271 |           360 |
| 7788万热度    |  1657286991.430772 |     557652 |           375 |
| 7700万热度    | 1657287591.6401582 |     576731 |           385 |
| 7619万热度    |  1657288191.888017 |     595766 |           397 |
| 7538万热度    | 1657288791.6086504 |     615187 |           410 |
| 6551万热度    | 1657289391.7134857 |     633433 |           418 |
| 6456万热度    | 1657289991.8555038 |     651355 |           426 |
| 6360万热度    | 1657290591.9557889 |     669146 |           433 |
| 3884万热度    | 1657291192.0584714 |     686603 |           439 |
| 3836万热度    | 1657291792.1273022 |     703902 |           442 |
| 3846万热度    | 1657292392.5961173 |     720373 |           450 |
| 3841万热度    | 1657292992.3188443 |     737025 |           459 |
| 3841万热度    |  1657294192.369348 |     767977 |           480 |
| 3825万热度    | 1657294792.7912576 |     783014 |           486 |
| 3801万热度    | 1657295393.1498432 |     798000 |           497 |
| 3798万热度    |  1657295992.600902 |     812317 |           504 |
| 3769万热度    | 1657296592.9168026 |     826611 |           513 |
| 3728万热度    | 1657297192.7560103 |     840722 |           524 |
| 3745万热度    |  1657297793.286744 |     855232 |           534 |
| 3763万热度    | 1657298392.9101374 |     868457 |           539 |
| 3765万热度    | 1657298993.0469816 |     881200 |           549 |
| 3766万热度    | 1657299592.9760711 |     893881 |           556 |
| 3754万热度    | 1657300193.3904312 |     905833 |           561 |
| 3709万热度    | 1657300793.2746077 |     918419 |           569 |
| 3656万热度    | 1657301393.2855186 |     930338 |           574 |
| 3606万热度    | 1657301993.8404512 |     941985 |           577 |
| 3542万热度    |  1657302593.650528 |     953538 |           582 |
| 3469万热度    | 1657303193.4908147 |     965164 |           586 |
| 3403万热度    | 1657303793.6753943 |     976630 |           587 |
| 3196万热度    | 1657304393.6475942 |     987772 |           591 |
| 2990万热度    | 1657304993.8020835 |     998835 |           598 |
| 2816万热度    | 1657305594.0823412 |    1009580 |           602 |
| 2631万热度    | 1657306194.1515682 |    1020657 |           603 |
| 2431万热度    | 1657306794.0676718 |    1031434 |           605 |
| 2294万热度    | 1657307394.2488236 |    1041608 |           606 |
| 2096万热度    | 1657307994.1820219 |    1050707 |           607 |
| 1907万热度    | 1657308594.4001913 |    1058590 |           609 |
| 1752万热度    |  1657309194.452628 |    1066425 |           610 |
| 1582万热度    | 1657309794.3945704 |    1073140 |           610 |
| 1409万热度    |  1657310394.570403 |    1079425 |           612 |
| 1278万热度    | 1657310994.6731958 |    1085265 |           613 |
| 1266万热度    | 1657311594.7660794 |    1090431 |           616 |
| 1255万热度    | 1657312195.1426885 |    1094163 |           616 |
| 1242万热度    | 1657312794.8756073 |    1098256 |           617 |
| 1228万热度    | 1657313395.2173789 |    1101426 |           618 |
| 1216万热度    | 1657313995.2178009 |    1104256 |           618 |
| 1205万热度    | 1657314595.3031106 |    1106826 |           619 |
| 1196万热度    | 1657315195.2601287 |    1109698 |           620 |
| 1187万热度    | 1657315795.4904244 |    1111871 |           622 |
| 1183万热度    |   1657316395.66317 |    1114538 |           622 |
| 1180万热度    |  1657316995.499087 |    1117318 |           622 |
| 1181万热度    | 1657317595.6741853 |    1120009 |           625 |
| 1185万热度    | 1657318196.0114875 |    1123069 |           626 |
| 1194万热度    | 1657318796.0427902 |    1126959 |           627 |
| 1212万热度    | 1657319396.1626256 |    1131180 |           629 |
| 1235万热度    |  1657319996.242051 |    1136009 |           632 |
| 1268万热度    | 1657320596.4115958 |    1141494 |           636 |
| 1300万热度    | 1657321196.3361592 |    1147357 |           639 |
| 1339万热度    | 1657321796.6228907 |    1153867 |           643 |
| 831万热度     |   1657322396.77547 |    1161789 |           645 |
| 852万热度     |  1657322996.664909 |    1170356 |           648 |
| 545万热度     |  1657323596.881634 |    1179161 |           654 |
| 564万热度     | 1657324197.1617715 |    1188856 |           662 |
| 601万热度     |   1657324797.20128 |    1199574 |           668 |
| 630万热度     | 1657325397.1114333 |    1210561 |           672 |
| 666万热度     | 1657325997.7003396 |    1222845 |           677 |
+---------------+--------------------+------------+---------------+
95 rows in set (0.02 sec)

mysql> notee
